title	exam_id	id	final_question_number	correct_ans	distractor_a	distractor_b	distractor_c	distractor_d	distractor_e	section	stem	question_text	critique	critique_media	pubmed_ref_id_1	pubmed_ref_id_2	pubmed_ref_id_3	pubmed_ref_id_4	abstract_1_title	abstract_2_title	abstract_3_title	abstract_4_title
esophagus; radical esophagectomy; complication; recurrent nerve injury	sesats 10	1342	122	A	<p>dissection during the radical three-field resection.</p>	<p>manipulation of the middle third of the esophagus.</p>	<p>mobilization of the cervical esophagus.</p>	<p>retraction injury during cervical reconstruction.</p>		Mediastinum		"<p>A 70-year-old patient underwent radical esophagectomy by right thoracotomy, and reconstruction was by laparotomy and left neck anastomosis. The tumor extended from 26-31 cm from the incisors. Postoperatively a left vocal cord paralysis was documented. The most probable mechanism of injury is</p>"	"<p>Trauma to a recurrent laryngeal nerve during esophagectomy can result in significant problems with speech, cough, and swallowing. Limitations to tracheobronchial toilet increase the risk of postoperative pneumonia, and overall rehabilitation is grossly delayed when recurrent nerve palsy occurs. Fewer than half of such patients spontaneously resolve this complication within the first postoperative year. Early correction by injection or medialization of the paralyzed cord is advocated by some surgeons.</p><p>Dissection of the cervical esophagus under direct vision rarely results in trauma to the nerve. Orringer, however, emphasized that using retractors during cervical reconstruction may increase the risk of such recurrent nerve injury. Dissection of the middle third of the esophagus, an area poorly exposed during transesophageal resection, may traumatize the recurrent laryngeal nerve especially if the nerve trajectory around the aortic arch is not appreciated. Aggressive efforts to broaden the field of resection, however, entail an markedly increased risk to the recurrent nerves. Skeletonization of the laryngeal nerves during radical esophagectomy has been reported to result in recurrent laryngeal nerve palsy in 6-45% of operated patients.</p>"			10065810	19110820		Complications of Esophageal Resection	Does hoarseness of voice from recurrent nerve paralysis after es	Transhiatal oesophagectomy techniques tips and outcomes	Complications of esophageal surgery
esophagus; squamous carcinoma; operative exposure; treatment	sesats 10	1282	123	C	<p>Ivor-Lewis.</p>	<p>left thoracoabdominal.</p>	<p>McKeown.</p>	<p>minimally invasive.</p>	<p>transhiatal.</p>	Mediastinum		<p>A 63-year-old man with a history of alcohol abuse presented with dysphagia and a 5 cm long squamous cell carcinoma of the esophagus beginning 23 cm from the incisors. Endoesophageal ultrasound (EUS) clinical stage is T3N0 or possibly T4N0. PET scan shows no evidence of distant metastases. The patient refuses induction therapy. The best approach to esophagectomy in this patient is</p>	"<p>A large squamous cell carcinoma of the upper thoracic esophagus that may involve all layers of the thoracic esophageal wall should be handled with an operation that provides direct, wide thoracic exposure and allows for the highest possible anastomosis to achieve an optimal margin. The surgeon must be suspicious of airway involvement for a tumor of this type and location, and bronchoscopy is a requisite preliminary evaluation at the time of surgery. Airway invasion is a contraindication to resection. The esophagus and trachea share a common blood supply, and combined esophagectomy and tracheal resection is a highly morbid procedure. A neoadjuvant strategy can be considered, and if response is substantial then resection can be reconsidered.</p><p>Regarding this case, an Ivor-Lewis approach is not optimal because the anastomosis must be in the thorax. An adequate proximal margin likely cannot be achieved because of the high position of the tumor. A left thoracoabdominal incision offers even less access to the upper esophagus, and this approach is inadequate for the described lesion. Although a transhiatal approach removes the entire thoracic esophagus, a blind dissection is not safe for this tumor. For a large cancer with possible full thickness involvement near the azygos vein and adjacent to the trachea, a technique that does not allow direct visualization allows poor nodal assessment and is unreliable or dangerous regarding the radial margin. Although experience is increasing, a minimally invasive approach in a patient with possible airway invasion poses similar concerns. A three-field resection including right thoracotomy, laparotomy and neck incision with a cervical anastomosis (McKeown) offers maximal exposure, control and safety for large upper esophageal tumors.</p>"		17323341	17441965			Chemoradiotherapy followed by surgery for squamous cell carcinom	Treatment of thoracic esophageal carcinoma invading adjacent str		
esophagus; type III hiatal hernia; diagnosis; treatment	sesats 10	1286	124	B	<p>CT scan with oral contrast.</p>	<p>esophagoscopy and surgery.</p>	<p>esophagoscopy with PEG tube placement.</p>	<p>increased proton pump inhibitor therapy and observation.</p>	"<p>pH testing, manometry and surgery.</p>"	Mediastinum	"http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4605_4605a.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4605_4605b.jpg"	<p>A 66-year-old woman with mild heartburn despite proton pump inhibitor therapy had chest pain and vomiting. Her chest radiograph is shown. Following nasogastric tube decompression her chest pain decreased but persisted. The best management is</p>	"<p>The chest films show a large hiatal hernia and an intact left hemidiaphragm. An accepted definition of type III hiatal hernia is one with one-third or more of the stomach into the chest. The indications for repair of these hernias are somewhat controversial. Traditionally, the presence of such a hiatal hernia was an indication for repair. More recently, however, it is clear that when symptoms are minimal or absent these patients can be managed nonoperatively as long as the followup is done carefully. If symptoms such as new onset dysphagia, vomiting or pain appear, then endoscopy (to evaluate gastric viability and to rule out additional pathology) followed by surgical repair is recommended. Elderly patients do well with this operation. A laparoscopic approach has advantages, but recurrence rates after repair of type III hernias are significant and all approaches should be considered. Operation must be done by an experienced surgeon and all standard principles must be rigidly adhered to. These tenets include: (1) full reduction of the herniated stomach; (2) excision of the sac; (3) lengthening the esophagus if it is shortened (common in type III hernias); (4) careful closure of the hiatus (preferably without mesh; and (5) a fundoplication.</p><p>This patient&#39;s diagnosis is clear with the radiographs done, and endoscopy offers new information to plan treatment. Further functional testing for reflux or motility disorders will not alter optimal therapy for the hernia, and conservative management is no longer appropriate once symptoms appear. Gastropexy via percutaneous gastrostomy cannot maintain hernia reduction and does not address the herniated stomach or the risk of intrathoracic volvulus.</p>"		15001915	10801022	17726627		25year experience with open primary transthoracic repair of para	Laparoscopic repair of large type III hiatal hernia objective fo	Objective followup after laparoscopic repair of large type III h	
mediastinal mass; lymphoma; diagnosis; residual mass	sesats 10	1329	125	B	<p>median sternotomy with excision for curative intent</p>	<p>minimally invasive excisional biopsy for accurate diagnosis</p>	"<p>observation, since this is an expected finding</p>"	<p>repeat CT biopsy (if technically feasible) to exclude persistent lymphoma</p>	<p>thoracoscopic incisional biopsy to exclude teratoma</p>	Mediastinum	"http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4708_prechemoantmass.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4708_postchemoantmass.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4708_4708_petafterchemo.jpg"	"<p>A previously healthy 23-year-old woman presented with positional dyspnea and moderate tracheal compression secondary to a 10 cm anterior mediastinal mass (see first two figures). She had no fever or other systemic symptoms. A CT-directed biopsy showed a malignant lymphoid neoplasm. Chemotherapy was started and symptoms improved rapidly. After 6 months of progressive tumor size reduction, chemotherapy was completed. There is a residual 2.5 cm substernal mass in the anterior mediastinum with no other abnormalities in the chest, abdomen, or pelvis. A PET/CT scan (see third figure) shows mild FDG avidity in the residual mass (SUV 2.0) with no other systemic findings. Which of the following plans is best?</p>"	"<p>With core needle biopsy and improved pathologic processing, lymphoma can be diagnosed accurately at many centers. The accuracy of percutaneous technique can be influenced by numerous factors including the type of lymphoma. Therefore, CT-directed biopsy is a controversial first-line approach to diagnosis, but it avoids the risk of airway compromise during general anesthesia. CT-directed biopsy of this woman&#39;s residual mediastinal mass would have a lower diagnostic yield because of reduced cellularity, lower metabolic activity, tumor necrosis, and less readily available target tissue. Persistent or transformed lymphoma should not be observed because therapeutic options may be limited later. FDG-PET avidity is an abnormal finding and very sensitive for residual disease, but histologic confirmation is required.</p><p>Incisional biopsy offers better tissue mass for study, and leaving some tumor behind allows oncologists to gauge the efficacy of additional chemotherapy. Necrosis or heterogeneous histology within the residual mass may challenge interpretation by frozen section. Residual teratoma is associated with incomplete resolution of mediastinal germ cell tumors, including seminoma. It is not associated with lymphoma.</p><p>Complete or subtotal resection of the residual mass by the least invasive approach possible is the best option to reliably exclude residual disease or accurately reclassify it. There are past reports of curative resections for primary mediastinal B-cell lymphomas that persisted after chemotherapy. However, success of involved field radiation therapy and new chemotherapeutic regimens for such neoplasms has largely eliminated this indication.</p>"		12623044	17550849	10344303	17379431	CTguided biopsy with cuttingedge needle for the diagnosis of mal	Histological verification of positive positron emission tomograp	Lymphomas of the anterior mediastinum	Primary mediastinal large Bcell lymphoma results of intensive ch
mediastinum; fibrosing mediastinitis; treatment	sesats 10	1276	126	C	<p>mediastinal debridement and SVC reconstruction.</p>	<p>mediastinoscopy with biopsy.</p>	<p>observation.</p>	<p>percutaneous SVC dilation and stent placement.</p>	<p>wide resection with SVC reconstruction.</p>	Mediastinum	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4595_4595a.jpg	<p>A healthy 36-year-old patient presented with a history of several months of mild facial swelling. A chest CT slice is shown. There were no other abnormal CT findings. The most appropriate management is</p>	"<p>The CT demonstrates extensive calcification of the visceral mediastinum and secondary near-total SVC occlusion. There also has been formation of venous collaterals in the chest wall soft tissues. Lymphomas are rarely isolated to the visceral mediastinum and they rarely demonstrate extensive calcification. This diagnosis is possible but unlikely. Mediastinoscopy in this case does present a risk of bleeding due to dense contiguous fibrosis involving the innominate artery and SVC as well as the presence of large collateral venous channels. <em>Histoplasma capsulatum</em> is the most prevalent endemic mycosis in North America. Infection with the organism most commonly manifests as a benign self-limited respiratory illness, and many adults living in endemic areas have serologic and/or radiographic evidence of previous infection. The most common sequelae of histoplasmosis are asymptomatic pulmonary calcifications and/or calcified mediastinal and peribronchial lymph nodes. No active intervention is warranted for these findings. Occasionally, fibrosing mediastinitis will develop, initially characterized by abnormal proliferation of collagen and fibrous tissue followed by calcification within the visceral mediastinum. Organs such as the SVC, pulmonary arteries, pulmonary veins, airways, and esophagus can be involved. The compressibility and location of the SVC account for its common involvement with this process. SVC stenosis secondary to fibrosing mediastinitis occurs slowly over time, allowing venous collaterals to develop. The symptoms of SVC obstruction in this benign process tend to be insidious compared to neoplastic SVC occlusion.</p><p>Mediastinal debridement and SVC reconstruction can be a formable surgical procedure and should be reserved for patients with severe or critical symptoms such as moderate to severe facial swelling, oropharyngeal swelling, or neurologic symptoms of cerebral venous congestion. Although benefit has been reported in selected patients, it is unlikely that percutaneous dilatation and/or stent placement would be helpful in this case due to the dense surrounding fibrosis and calcification. Other less common agents reported to cause mediastinal fibrosis include blastomyces, mycobacterium, aspergillus, mucor, and cryptococcus. Serologic and skin testing to identify an infectious agent and further observation is the appropriate recommendation for this patient.</p>"		15296918	11353121	8782338	3539049	Fibrosing mediastinitis as a cause of superior vena cava syndrom	Fibrosing mediastinitis	Mediastinal compression syndromes due to idiopathic fibrosing me	Surgical intervention in histoplasmosis
mediastinum; foregut cyst; treatment	sesats 10	1297	127	E	<p>aspirate the cyst via percutaneous needle.</p>	<p>bronchoscope the child and inject the cyst with fibrin glue.</p>	<p>excise the cyst via left posterolateral thoracotomy.</p>	<p>follow yearly chest CT studies to determine if there is any growth.</p>	<p>remove the cyst via right posterolateral thoracotomy.</p>	Mediastinum	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4637_4637a.jpg	"<p>An 8-year-old boy presented with fever and a history of recurrent episodes of pneumonia. He had otherwise been healthy. An abnormal chest radiograph (see figure) prompted a chest CT, which confirmed a 4.5 cm diameter cystic structure adjacent to and posterior-superior to the carina. Of the following choices, the best course of action is to</p>"	"<p>Foregut cysts account for 11-18% of mediastinal masses in infants and children. Most of these are asymptomatic. When symptoms are present they are most often obstructive airway findings such as cough, wheezing, stridor, or those of secondary pneumonia. Although the majority of foregut cysts are benign, a small number of cases are associated with a malignant tumor. Aspiration with or without sclerosis nearly always fails, and an infection risk is introduced. Late complications in adulthood are common, and surgical excision is recommended for all bronchogenic cysts. The urgency of operation depends on clinical presentation. Occasionally, the wall of the cyst is impossible to dissect away from the membranous part of the trachea, and partial excision and repair is required. With this in mind, the best surgical access to the carina and both mainstem bronchi is through a right posterolateral thoracotomy. Recurrent pneumonia and the large size of this boy&#39;s isolated cyst justify resection. Minimally invasive techniques should be considered if the lesion is simple, if patient size is ample, and if the surgeon&#39;s experience is adequate.</p>"		15975811	17618888		15868574	Adult congenital lung disease	Evolving experience with videoassisted thoracic surgery in conge	Foregut cysts of the mediastinum	Foregut duplications is there an advantage to thoracoscopic rese
mediastinum; germ cell tumor; diagnosis	sesats 10	1280	128	C	<p>anterior mediastinotomy with biopsy.</p>	<p>CT-guided biopsy.</p>	<p>measurement of serum tumor markers (αFP and β-hCG).</p>	<p>serum acetylcholinesterase antibody measurement.</p>	<p>wide surgical excision.</p>	Mediastinum	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4599_2_kk.jpg	<p>A 26-year-old man with Klinefelter&#39;s syndrome presented with a three-month history of progressive shortness of breath and anterior chest discomfort. Physical exam was unremarkable. A chest CT scan slice is shown. The most appropriate diagnostic modality is</p>	"<p>The CT demonstrates a large anterior mediastinal mass, which accounts for this patients symptoms. The main differential diagnoses of a mass in the anterior mediastinal compartment include the &quot;4 Ts&quot; (Thymoma, Terrible lymphoma, Thyroid lesions, and Teratoma) along with pathologic subcategories. A thymoma is unlikely given the relatively rapid onset of symptoms and the patient&#39;s young age. Moreover, there are no symptoms of myasthenia gravis to justify measurement of acetylcholinesterase antibody levels. The rapid onset of symptoms also makes lymphoma (e.g., Hodgkin&#39;s disease) less likely, although it remains a possibility. Malignant teratoma (seminomatous or nonseminomatous germ cell cancer) is the main differential diagnoses in this patient. Klinefelter&#39;s syndrome (47,XXY or XXY sex chromosome aneuploidy) is a known risk factor for primary mediastinal nonseminomatous germ cell cancer.</p><p>Although a Chamberlain procedure or CT guided biopsy is likely to be diagnostic for primary mediastinal nonseminomatous germ cell cancer, biopsy can be misleading due to sampling error. These tumors have a heterogeneous nature frequently mixed with teratoma, teratoma with stromal atypia, or frank degeneration of teratoma into sarcoma or epithelial cancer. Seminoma and tumor necrosis can also be present on biopsy specimens. Primary mediastinal nonseminomatous germ cell cancers are typically large, infiltrating neoplasms. Surgical resection for initial diagnosis and therapy will, therefore, rarely achieve local control and does not treat metastatic disease when present. Appropriate therapy begins with cisplatin-based chemotherapy followed by surgical extirpation of residual disease when feasible.</p><p>For a young adult male who presents with a mass in the anterior mediastinal compartment, obtaining serum tumor markers (alpha fetoprotein and human chorionic gonadotropin level) is a simple and essential component of clinical evaluation. Any elevation of alpha fetoprotein (αFP) and human chorionic gonadotropin elevation (or one one of its subunits, e.g. β-hCG) &gt; 100 mIU/mL is diagnostic for a primary mediastinal nonseminomatous germ cell cancer. Proceeding directly with chemotherapy on the basis of serum tumor marker elevation is recommended. Surgical biopsy presents unnecessary risks, delays needed chemotherapy for a rapidly growing neoplasm, and makes subsequent surgical removal more difficult. Only 5% of primary mediastinal nonseminomatous germ cell cancer patients present with normal serum tumor markers. CT-guided or surgical biopsy to establish a diagnosis is then indicated.</p>"		18222228	12471870	1846573	9264353	25year single institution experience with surgery for primary me	Diagnosis staging and clinical characteristics of the patient wi	Mediastinal germ cell tumors Clinical features and biologic corr	Primary germ cell tumors of the mediastinum III Yolk sac tumor e
mediastinum; germ cell tumor; seminoma; diagnosis; treatment	sesats 10	1279	129	A	<p>chemotherapy.</p>	<p>chemotherapy and radiation therapy.</p>	<p>chemotherapy followed by resection.</p>	<p>radiation therapy.</p>	<p>resection.</p>	Mediastinum	"http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4598_4598a.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4598_4598b.jpg"	"<p>A 24-year-old man presented after several months of vague anterior chest pain and a nonproductive cough. A CT slice is shown, and serum tumor markers reveal a mildly elevated human chorionic gonadotropin and normal alpha fetoprotein. Pathology obtained by CT-guided core needle is also shown. The most appropriate initial treatment is</p>"	"<p>An anterior mediastinal mass in a young adult male should prompt measurement of serum tumor markers. Any alpha fetoprotein&nbsp;(αFP) and/or beta human chorionic gonadotropin (β-hCG) elevation over 100 mIU/mL is diagnostic for a primary mediastinal nonseminomatous germ cell cancer. This situation is treated with cisplatin-based chemotherapy followed by surgery regardless of biopsy findings. Mildly elevated or normal β-hCG levels are consistent with primary mediastinal seminomatous germ cell cancers. However, pathologic confirmation by CT-guided core needle or surgical biopsy is necessary to establish this diagnosis and to rule out lymphoma or invasive thymic neoplasms. A slowly growing, large, and relatively homogenous mass with occasional areas of central necrosis on CT scan is most consistent with a primary mediastinal seminomatous germ cell cancer. The homogeneity of CT findings corresponds well to the typical pathologic findings of monotonous sheets of round to polygonal cells with septae containing lymphocytes. Eighty percent of seminomatous germ cell cancers stain positive for placental alkaline phosphatase, which is also diagnostic.</p><p>Radiation therapy has historically been the treatment of choice for primary mediastinal seminomatous germ cell cancer, but irradiation does not control systemic metastases. Another concern about these relatively young patients is the long-term morbidity associated with mediastinal irradiation. Cisplatin-based combination chemotherapy regimens are now considered the first-line treatment of choice for mediastinal seminoma. Cisplatin-based chemotherapy alone has up to a 100% response rate and an 85% 5-year survival even in the presence of metastatic disease. In contrast to primary mediastinal nonseminomatous germ cell cancers, any residual anterior mediastinal mass following chemotherapy usually represents nonviable germ cell tumor and, therefore, surgical removal is not indicated. Follow-up surveillance is by imaging only. If a residual mass has local growth during follow-up then surgical removal should be considered for both diagnosis and therapy.</p>"		11919246	9264352			Extragonadal germ cell tumors of the mediastinum and retroperito	Primary germ cell tumors of the mediastinum II Mediastinal semin		
mediastinum; germ cell tumor; treatment after chemotherapy; role of surgery	sesats 10	1281	130	E	<p>observation.</p>	<p>PET scan.</p>	<p>radiation therapy.</p>	<p>second-line chemotherapy.</p>	<p>surgical resection.</p>	Mediastinum		<p>A patient was treated with cisplatin-based chemotherapy for a primary mediastinal nonseminomatous germ cell cancer. Alpha fetoprotein levels were elevated at presentation but are now normal. CT scan demonstrates reduction in the size of the mediastinal mass from 12 cm to 6 cm. The most appropriate next management step is</p>	"<p>Following cisplatin-based chemotherapy for a primary mediastinal nonseminomatous germ cell tumor, there is typically a reduction in tumor dimensions and decrease in serum tumor marker levels. However, a residual mass is invariably present and complete tumor necrosis occurs in only a distinct minority of cases. Therefore, teratoma, persistent nonseminomatous germ cell cancer, and/or degenerative non-germ cell cancer is pathologically present in most residual masses. Each of these pathologic categories is poorly responsive to radiation therapy and further chemotherapy. Surgery is indicated to remove these residual masses. Unfortunately, teratoma does not demonstrate PET avidity similar to complete necrosis. Although considered benign, teratoma in primary mediastinal nonseminomatous germ cell tumors has a high propensity to degenerate into frank malignancy. PET additionally lacks sensitivity to identify microscopic foci of persistent nonseminomatous germ cell cancer or degenerative non-germ cell cancer.</p><p>Optimally, serum tumor marker levels normalize and surgery is planned after adequate functional and hematologic recovery, which usually occurs 4-6 weeks following completion of chemotherapy. Historically, primary mediastinal nonseminomatous germ cell tumor patients with persistently elevated serum tumor marker levels after chemotherapy were treated with second-line cisplatin-based chemotherapy prior to considering surgery. However, in contrast to the 50% salvage rate of second-line cisplatin-based chemotherapy for nonseminomatous germ cell tumors arising in the testes, the response rate for primary mediastinal nonseminomatous germ cell tumors is very poor. Given this poor response of second-line chemotherapy, the imperfect correlation of elevated postchemotherapy serum tumor marker levels to pathologic findings, and the ability for surgery to salvage patients with residual malignancy, resection of residual disease after first-line cisplatin chemotherapy is desirable regardless of serum tumor marker levels.</p><p>Conversely, normalization of serum tumor markers following chemotherapy is not a good predictor of benign pathology. Up to one-third of such patients have persistent nonseminomatous germ cell cancer, and/or degenerative non-germ cell cancer when residual mass is resected. Surgery, therefore, needs to be complete even in the face of normal serum markers. Such resections are technically demanding as preoperative chemotherapy renders surrounding mediastinal tissues fibrotic and normal anatomic planes are obscured. Cisplatin-based chemotherapy for germ cell cancers usually results in extensive tumor necrosis which is more marked around the periphery. With support from frozen section analysis this finding usually allows a complete resection. Lung, great veins, phrenic nerves, and occasionally cardiac chambers are critical structures which can abut, but if not directly involved with the residual mass, they can be preserved. Any nonessential tissue directly involved with the residual mass should be removed <em>en bloc</em>, however. Complete tumor necrosis in the residual mass correlates with excellent long-term survival, while an incremental decrease in survival is associated with findings of teratoma and persistent germ cell cancer and/or degenerative non-germ cell cancer.</p>"		18222228	11157018	19288821		25year single institution experience with surgery for primary me	Role of postchemotherapy adjunctive surgery in the management of	Multimodality treatment of germ cell tumors of the mediastinum	
mediastinum; mediastinal fibrosis; subclavian vein thrombosis; diagnosis	sesats 10	1548	131	D	<p>follicular lymphoma.</p>	<p>histoplasmoma.</p>	<p>small cell carcinoma.</p>	<p>subclavian vein thrombosis.</p>	<p>thymoma.</p>	Mediastinum	"http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/5060_5060a.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/5060_5060b.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/5060_5060c.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/5060_5060d.jpg"	<p>A 37-year-old woman without other medical problems presented with left upper extremity swelling. Shown are contrast CT images and a representative pathology photomicrograph. The mass was noted to be firm during biopsy via mediastinoscopy. The images show</p>	"<p>The radiographs demonstrate occlusion of the left subclavian-innominate vein, although the cause of the blockage is unclear. The photomicrograph demonstrates a cellular, fibroblastic proliferation involving adipose tissue with scattered lymphoplasmocytic infiltration. Expected findings for a histoplasmoma are concentric layers of collagen with or without central calcification. Occasionally, mediastinal lymphoma may present as a small mass but is then unlikely to obstruct a large vein. The photograph does not show an atypical lymphocytic infiltrate. Small cell carcinoma rarely originates in the superior mediastinum without enlargement of adjacent lymph nodes, and the micrograph shows no malignant cells. The location is consistent with thymoma, but venous occlusion and histologic appearance are not characteristic of this lesion. This patient may have fibrosing mediastinitis, and central calcification is uncommon in this condition. The histologic findings are nonspecific and do not allow a diagnosis.</p>"		17721332	17604768	11353121		Computed tomography and the idiopathic form of proliferative fib	Computed tomography findings in fibrosing mediastinitis	Fibrosing mediastinitis	
mediastinum; mediastinal mass; Cushing's syndrome; diagnosis; treatment	sesats 10	1416	132	E	<p>bilateral adrenalectomy to resolve the signs and symptoms</p>	<p>consultation by neurosurgery to plan resection of the pituitary adenoma</p>	<p>fine needle aspiration followed by VATS resection if carcinoid is found</p>	"<p>thoracotomy, left upper lobectomy and mediastinal node dissection</p>"	<p>VATS resection of mediastinal tumor with local lymph node sampling.</p>	Mediastinum	"http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4855_4855a.jpg,http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/stem/4855_4855b.jpg"	"<p>A 70-year-old woman was admitted with deteriorating mental status, hypertension, hypoxemia, and troponin elevation (0.23). She is bed-ridden and has moon facies, truncal obesity, lipodystrophy, hirsutism, striae, and telangiectasias. Laboratory data showed hypernatremia and hypokalemia. High dose dexamethasone failed to suppress cortisol levels. ACTH levels were elevated and venous sampling showed no ACTH gradient between the petrosal sinus and peripheral blood (ACTH pituitary-to-peripheral ratio = 1.2). A CT slice and octreotide scan are shown. Which of the following is the best next step in her management?</p>"	"<p>Physical findings and blood studies indicate Cushing&#39;s syndrome caused by ectopic ACTH production, and the chest CT and octreotide scan show a left mediastinal mass. The most common causes of non-pituitary ACTH hypersecretion are small cell carcinoma and carcinoid tumor. Neurosurgical consultation is not required in this case because systemic venous sampling ruled out a pituitary source for the excess ACTH. Although it was not done in this case, intrathoracic blood aspiration via VATS has also been shown to confirm the diagnosis of Cushing&#39;s syndrome due to an intrathoracic tumor. Fine needle aspiration biopsy of the mediastinal mass is not necessary; it entails a risk of complications and the small sample may be inadequate for diagnosis.</p><p>Because the patient has an apparent single lesion, VATS resection of the octreotide-positive mass in the mediastinum and mediastinal lymph node sampling is the best recommendation. This is a high-risk situation because the patient has multiple comorbid conditions, and a minimally invasive approach may increase the chance of a good outcome, including uncomplicated wound healing. Frozen section support is necessary, but even if the pathology is carcinoid tumor, then nearby mediastinal lymph nodes should be removed to stage the patient&#39;s disease. If resection of the tumor fails to achieve an undetectable level of ACTH, then bilateral adrenalectomy should be considered for palliation.</p>"		18226734	17961030	16120872	8189767	Cushings Syndrome	Diagnostic approach to Cushing disease	Localization of a corticotropinsecreting tumor by thoracoscopic 	Thoracoscopic excision of a peripheral corticotropinsecreting pu
mediastinum; myasthenia gravis; diagnosis; testing	sesats 10	1324	133	D	<p>edrophonium chloride (Tensilon) testing.</p>	<p>repetitive nerve stimulation (RNS).</p>	<p>serum antibody assay for acetylcholine receptor antibodies.</p>	<p>single fiber electromyography (SFEMG).</p>		Mediastinum		"<p>Of the following choices, the most sensitive test to establish the diagnosis of myasthenia gravis is</p>"	"<p>The initial diagnosis of myasthenia gravis is primarily clinical via a full neurologic examination. The differential diagnosis includes brainstem and motor cranial nerve pathology, Kearns-Sayre syndrome with ophthalmopathy, Lambert-Eaton syndrome, generalized fatigue, and several neuromuscular diseases. Edrophonium chloride (Tensilon) is an acetylcholinesterase inhibitor with rapid onset (30 to 45 seconds) and short duration of action (5 to 10 minutes). This agent prolongs the presence of acetylcholine in the neuromuscular junction and results in an immediate increase in muscle strength in many of the affected muscles of myasthenic patients. The test (10 mg IV) has a sensitivity of 80-90%, but it there are false-negative and false-positive results and the test can exacerbate severe asthma and cardiac disease. Availability of the drug has been somewhat irregular.</p><p>The ice pack test can be used in patients with ptosis, particularly those in whom the Tensilon (edrophonium) test is considered too risky. Neuromuscular transmission improves at lower muscle temperatures, and myasthenic ptosis improves after an ice pack is placed on the closed lid for two minutes. Repetitive nerve stimulation (RNS) is a practical, and the most frequently used electrodiagnostic test for MG. Single-fiber electromyography (SFEMG) is more technically demanding than RNS and is less widely available, but it is the most sensitive diagnostic test for myasthenia gravis whether generalized or ocular (see table). Each of the tests above is useful in the functional diagnosis of myasthenia gravis, but demonstration of acetylcholine receptor binding antibodies (found in 88-94% of patients with generalized disease) confirms the diagnosis. In select patients, assays for blocking and modulating antibodies, including muscle specific receptor tyrosine kinase (MuSK), may also be helpful.</p>"	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/critique/4696_4696crit.jpg	15229790	3729767			Myasthenia gravis diagnosis	office Tensilon test for ocular myasthenia gravis		
mediastinum; myasthenia gravis; thymectomy; outcomes	sesats 10	1335	134	B	<p>24-year-old woman with 23 months of medical management and no thymoma</p>	<p>42-year-old man with new onset of generalized myasthenia and a Masaoka (MGFA) Stage II thymoma</p>	<p>54-year-old man with a new diagnosis of myasthenia and a Masaoka Stage IV thymoma</p>	<p>67-year-old woman with 13 months of medical management and a Masaoka Stage I thymoma</p>		Mediastinum		<p>Each of the following patients has myasthenia gravis and is under treatment with medications. Which of them would be predicted to benefit most from thymectomy?</p>	"<p>In 1936 Dr. Alfred Blalock noted improvement in myasthenia gravis symptoms in a patient following removal of a thymoma. This observation remains important in the management of all myasthenic patients today. Clinical staging of thymoma follows guidelines by Masaoka and the Myasthenia Gravis Foundation of America (MGFA), shown in the figure. Thymectomy should be considered one aspect of the treatment of patients with myasthenia, whether thymoma is identified or not. However, the lack of prospective studies, different operations done, non-uniform reporting, and inconsistent data collection make it difficult to know which patients will do best with thymectomy. These challenges have not encouraged widespread or routine patient surgical referral by neurologists. However, most studies suggest that age at the time of surgery, severity of symptoms, duration of symptoms before surgery, complete resection and the presence of a thymoma are the most important prognostic factors. In recent studies, duration of myasthenic symptoms is the most important factor predicting success (i.e., complete remission of symptoms and no ongoing medications) after thymectomy. Thus, patients with long-standing symptoms generally do not do as well as patients with recent-onset symptoms, whether a thymic tumor is present or not. Thymomas that are noninvasive are likely to be completely resected, and R0 status correlates with improvement in symptoms, less need for medication and a longer remission duration.</p>"	http://d14jl09xmc3qmp.cloudfront.net/sesats/ssx/media/critique/4715_4715crit.jpg	17904281	17723805			Effects of thymectomy on lateonset myasthenia gravis without thy	Neurologic outcomes of thymectomy in myasthenia gravis comparati	Surgery for Myasthenia Gravis	
